,,,,Overall,,,,,,,PP,,SH,,Defense,
Player_Name,Team,Pos,Games,G,A,Pts,plusminus,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Josh Anderson,MON,RW,20,4,5,9,-12,16,49,0,0,1,0,0,48,2
Ben Chiarot,MON,D,20,4,1,5,-5,18,36,0,0,0,0,0,46,38
Pavel Buchnevich,STL,LW,16,4,6,10,6,16,46,0,2,1,0,0,10,4
Clayton Keller,ARI,C,19,4,6,10,-1,16,45,1,2,1,0,0,3,13
Michael Bunting,TOR,LW,20,4,5,9,-4,14,38,0,1,1,0,0,22,2
Brock Boeser,VAN,RW,16,4,4,8,-3,2,40,0,1,1,0,1,8,11
Artemi Panarin,NYR,LW,18,4,15,19,1,0,43,1,1,8,0,0,7,3
Sam Steel,ANH,C,12,4,0,4,-1,2,8,0,0,0,0,0,1,6
Adam Fox,NYR,D,18,4,14,18,5,6,39,1,0,7,1,0,9,37
Rem Pitlick,MIN,C,9,4,3,7,0,6,6,1,0,0,0,0,5,3
Pius Suter,DET,LW,20,4,3,7,-2,2,45,1,0,1,0,0,6,5
Owen Tippett,FLA,RW,18,4,6,10,9,6,33,0,0,0,0,0,18,7
Zemgus Girgensons,BUF,C,18,4,5,9,-2,6,31,1,1,1,0,0,23,7
Patrick Maroon,TB,LW,17,4,1,5,0,35,31,0,2,0,0,0,28,1
Sam Carrick,ANH,C,11,4,1,5,1,4,20,0,0,0,0,0,20,3
Filip Forsberg,NSH,RW,9,4,3,7,-2,4,22,1,0,2,0,0,8,6
Brock McGinn,PIT,LW,18,4,3,7,3,8,34,1,0,0,0,0,29,14
Mika Zibanejad,NYR,C,18,4,11,15,2,2,45,0,2,4,0,1,13,9
Vincent Trocheck,CAR,C,17,4,9,13,7,16,29,1,2,2,0,0,37,8
Ondrej Palat,TB,LW,18,4,7,11,0,8,37,3,0,1,0,0,34,16
Brendan Gallagher,MON,RW,19,4,5,9,-1,24,49,0,3,0,0,0,20,12
Anders Lee,NYI,C,12,4,0,4,-4,6,31,1,0,0,0,0,14,3
Tyler Toffoli,MON,RW,20,4,8,12,-7,4,52,0,2,1,0,0,32,6
Jaden Schwartz,SEA,LW,18,4,12,16,-7,6,47,0,0,2,0,0,25,7
Mike Hoffman,MON,LW,13,4,3,7,-9,2,34,2,2,3,0,0,8,4
Jason Zucker,PIT,LW,18,4,5,9,-1,4,52,0,1,0,0,0,29,9
Joe Pavelski,DAL,RW,17,4,6,10,-1,6,33,0,3,2,0,0,19,12
Mikael Backlund,CGY,C,20,4,4,8,3,8,39,0,0,1,0,0,16,6
Kevin Shattenkirk,ANH,D,19,4,10,14,4,10,32,0,0,7,0,0,13,27
Jeff Carter,PIT,C,15,4,5,9,-2,14,55,0,1,0,0,0,15,10
Derick Brassard,PHI,C,17,4,7,11,8,6,22,0,1,1,0,0,26,2
Kyle Okposo,BUF,RW,18,4,6,10,-4,4,43,1,2,2,0,0,12,7
T.J. Oshie,WAS,RW,8,4,3,7,-4,6,14,1,1,2,0,0,15,7
Paul Stastny,WPG,C,11,4,4,8,4,8,13,1,1,1,0,0,4,7
Taylor Hall,BOS,LW,15,4,5,9,-3,10,35,0,1,1,0,0,14,9
Mats Zuccarello,MIN,RW,14,4,9,13,5,2,28,0,0,5,0,0,7,10
Mikael Granlund,NSH,C,18,4,15,19,1,6,30,0,1,5,0,0,9,10
Derek Forbort,BOS,D,15,4,1,5,1,4,17,1,0,0,0,0,19,13
Nino Niederreiter,CAR,RW,11,3,1,4,4,2,21,1,1,0,0,0,16,6
Cam Fowler,ANH,D,19,3,10,13,0,4,33,0,2,5,0,0,11,31
Ryan O'Reilly,STL,C,14,3,6,9,3,0,29,0,1,1,0,0,5,6
Tyson Barrie,EDM,D,18,3,6,9,-3,4,39,0,2,2,0,0,7,18
Victor Hedman,TB,D,18,3,14,17,2,14,46,0,1,6,0,0,35,25
Brayden Schenn,STL,C,9,3,3,6,7,7,12,0,1,1,0,0,8,0
Zack Kassian,EDM,RW,14,3,2,5,-5,27,12,1,1,0,0,0,47,0
Erik Karlsson,SJ,D,12,3,5,8,2,4,22,0,0,5,0,0,5,11
Derek Stepan,CAR,C,15,3,2,5,2,2,26,0,0,0,0,0,7,7
John Carlson,WAS,D,19,3,13,16,4,2,41,1,2,4,0,0,14,22
Mathieu Perreault,MON,C,8,3,1,4,3,4,11,0,0,0,0,0,7,5
Mark Giordano,SEA,D,18,3,4,7,-6,16,35,0,0,2,0,0,11,25
Phil Kessel,ARI,RW,19,3,6,9,-3,6,39,0,1,4,0,0,3,4
Jason Spezza,TOR,C,20,3,3,6,-2,10,31,0,1,2,0,0,10,10
Ryan Suter,DAL,D,17,3,7,10,-3,10,23,0,2,3,0,0,7,22
Andrew Ladd,ARI,LW,13,3,1,4,-8,10,14,0,1,0,0,0,22,9
Alex Pietrangelo,VGK,D,19,3,8,11,0,8,53,0,1,3,0,0,16,40
Gustav Nyquist,CLS,RW,16,3,4,7,-3,4,19,0,0,0,0,0,3,11
Justin Faulk,STL,D,18,3,4,7,8,21,49,1,1,1,0,0,31,23
Blake Coleman,CGY,C,19,3,3,6,8,19,51,0,0,0,0,0,42,12
Phillip Danault,LA,C,18,3,6,9,0,12,44,1,0,1,0,0,21,9
Jared Spurgeon,MIN,D,17,3,5,8,5,2,28,0,0,2,0,0,14,23
Valeri Nichushkin,COL,LW,6,3,3,6,6,2,10,0,1,0,1,0,7,2
Josh Morrissey,WPG,D,18,3,5,8,11,12,37,0,3,1,0,0,32,24
Scott Laughton,PHI,C,17,3,1,4,-1,6,25,0,0,0,0,0,33,14
Morgan Rielly,TOR,D,20,3,10,13,4,2,46,2,1,4,0,0,24,18
Torey Krug,STL,D,13,3,7,10,4,12,29,1,1,4,1,0,9,11
Teuvo Teravainen,CAR,C,17,3,10,13,2,4,42,1,2,5,0,0,7,11
David Kampf,TOR,RW,20,3,3,6,0,6,24,0,0,0,0,0,22,6
Janne Kuokkanen,NJ,LW,16,3,1,4,-2,4,17,1,1,0,1,0,11,5
Kevin Rooney,NYR,C,18,3,0,3,0,6,19,0,0,0,0,0,22,15
Mathieu Joseph,TB,RW,18,3,4,7,1,6,15,0,0,0,0,0,32,10
Travis Boyd,ARI,C,12,3,3,6,1,4,14,0,0,0,0,0,14,8
Carl Grundstrom,LA,LW,12,3,1,4,2,0,24,0,0,0,0,0,22,4
Jake Bean,CLS,D,16,3,4,7,-1,6,23,1,0,0,0,1,6,20
Charlie McAvoy,BOS,D,15,3,9,12,5,17,33,0,2,4,0,0,35,28
Jake DeBrusk,BOS,LW,15,3,3,6,-2,0,32,2,0,0,0,0,5,4
Anthony Beauvillier,NYI,LW,14,3,4,7,0,0,32,0,1,0,0,0,13,5
Denis Gurianov,DAL,RW,16,3,3,6,2,2,39,1,1,2,0,0,20,11
Devon Toews,COL,D,6,3,3,6,10,0,12,0,1,1,0,0,7,3
Patrik Laine,CLS,RW,9,3,7,10,2,6,23,2,0,4,0,0,5,5
Sean Kuraly,CLS,C,16,3,2,5,4,13,20,0,0,0,0,0,45,10
Oliver Kylington,CGY,D,19,3,9,12,10,4,30,0,0,0,0,0,13,20
Shea Theodore,VGK,D,17,3,8,11,2,6,46,0,0,2,0,0,5,23
Kevin Fiala,MIN,LW,18,3,9,12,0,8,59,1,1,2,0,0,13,3
Robby Fabbri,DET,LW,20,3,5,8,-8,10,52,0,1,1,0,0,32,12
Sonny Milano,ANH,LW,14,3,7,10,-1,2,20,1,1,3,0,0,9,3
Sam Reinhart,FLA,RW,18,3,8,11,3,4,35,0,0,3,0,0,13,10
Christian Dvorak,MON,LW,20,3,5,8,-15,20,36,0,0,2,0,0,14,27
Anders Bjork,BUF,LW,18,3,1,4,0,4,20,0,0,0,0,0,5,3
Nick Paul,OTT,LW,16,3,0,3,-11,9,40,0,0,0,0,0,21,12
Barclay Goodrow,NYR,LW,18,3,5,8,-2,10,25,1,0,0,0,1,36,12
Kevin Labanc,SJ,RW,12,3,2,5,-2,6,22,1,2,2,0,0,17,7
Daniel Sprong,WAS,RW,18,3,3,6,5,2,40,0,0,0,0,0,12,6
Elias Pettersson,VAN,C,19,3,7,10,-3,6,54,0,2,4,1,0,5,9
Nicolas Hague,VGK,D,19,3,6,9,3,16,37,0,0,0,0,0,17,30
Ryan Poehling,MON,C,6,3,0,3,1,0,9,1,0,0,0,0,2,1
Miro Heiskanen,DAL,D,17,3,11,14,-4,6,46,1,2,4,0,0,13,20
Dominik Kubalik,CHI,LW,19,3,4,7,-12,6,42,0,2,1,0,0,35,11
Jake Evans,MON,LW,16,3,1,4,1,4,22,0,0,0,0,0,31,8
Alex Barre-Boulet,TB,C,11,3,3,6,2,2,9,0,0,1,0,0,7,0
Arthur Kaliyev,LA,RW,17,3,2,5,-2,4,37,0,2,1,0,0,7,1
Logan O'Connor,COL,C,15,3,4,7,0,10,40,0,0,0,1,1,15,13
Bowen Byram,COL,D,11,3,5,8,5,2,18,1,0,0,0,0,13,12
Philip Tomasino,NSH,C,16,3,2,5,-3,8,21,1,2,1,0,0,6,8
Kaapo Kakko,NYR,RW,14,3,2,5,4,2,20,0,0,0,0,0,3,4
Vasili Podkolzin,VAN,RW,17,3,1,4,0,4,21,1,0,1,0,0,25,10
Nico Sturm,MIN,C,18,3,3,6,-2,4,34,0,0,0,0,0,11,6
Kirby Dach,CHI,C,19,3,5,8,-3,19,35,0,2,0,0,1,10,12
Brady Tkachuk,OTT,LW,13,3,6,9,0,31,38,1,0,0,0,0,59,6
Jesperi Kotkaniemi,CAR,LW,17,3,1,4,0,4,18,1,0,1,0,0,20,6
Rasmus Dahlin,BUF,D,18,3,9,12,0,12,37,0,1,4,0,0,22,14
Filip Zadina,DET,RW,20,3,4,7,-2,4,41,1,2,1,0,0,15,9
Isac Lundestrom,ANH,LW,19,3,7,10,6,0,22,0,0,0,1,0,6,16
Ryan McLeod,EDM,C,10,3,0,3,1,2,9,0,0,0,0,0,4,1
